CompanyCode,Stkcd,Date,Clpr,Trdvol,Trdsum,Dret,PE,PB,PCF,PS,EPS,ROE
"3","000001",2021-01-04,"18.6000","155421643","2891682312.05","-0.0383","12.48","1.07","-9.38","2.72","1.15","6.243000"
"3","000001",2021-01-05,"18.1700","182135210","3284606913.91","-0.0231","12.19","1.07","-9.38","2.72","1.15","6.243000"
"3","000001",2021-01-06,"19.5600","193494512","3648521909.10","0.0765","13.12","1.07","-9.38","2.72","1.15","6.243000"
"3","000001",2021-01-07,"19.9000","158418530","3111274625.37","0.0174","13.35","1.07","-9.38","2.72","1.15","6.243000"
"3","000001",2021-01-08,"19.8500","119547322","2348316363.18","-0.0025","13.32","1.07","-9.38","2.72","1.15","6.243000"
"3","000001",2021-01-11,"20.3800","179045714","3652546646.82","0.0267","13.67","1.07","-9.38","2.72","1.15","6.243000"
"3","000001",2021-01-12,"21.0000","128816550","2657687440.67","0.0304","14.09","1.07","-9.38","2.72","1.15","6.243000"
"3","000001",2021-01-13,"20.7000","104911973","2161849708.04","-0.0143","13.89","1.07","-9.38","2.72","1.15","6.243000"
"3","000001",2021-01-14,"20.1700","113015562","2306404546.81","-0.0256","13.53","1.07","-9.38","2.72","1.15","6.243000"
"3","000001",2021-01-15,"21.0000","248068898","5311218074.76","0.0412","14.09","1.07","-9.38","2.72","1.15","6.243000"
"3","000001",2021-01-18,"22.7000","215730178","4792909447.95","0.0810","15.23","1.07","-9.38","2.72","1.15","6.243000"
"3","000001",2021-01-19,"22.3400","124208834","2790056611.29","-0.0159","14.99","1.07","-9.38","2.72","1.15","6.243000"
"3","000001",2021-01-20,"22.4700","128079316","2889249850.45","0.0058","15.07","1.07","-9.38","2.72","1.15","6.243000"
"3","000001",2021-01-21,"22.2300","94477860","2114252731.64","-0.0107","14.91","1.07","-9.38","2.72","1.15","6.243000"
"3","000001",2021-01-22,"22.0300","92443442","2025834761.54","-0.0090","14.78","1.07","-9.38","2.72","1.15","6.243000"
"3","000001",2021-01-25,"22.4900","102836527","2269032820.67","0.0209","15.09","1.07","-9.38","2.72","1.15","6.243000"
"3","000001",2021-01-26,"22.3700","112672055","2558575511.97","-0.0053","15.01","1.07","-9.38","2.72","1.15","6.243000"
"3","000001",2021-01-27,"23.0800","129415272","2976800955.73","0.0317","15.48","1.07","-9.38","2.72","1.15","6.243000"
"3","000001",2021-01-28,"22.8100","85747696","1948881146.95","-0.0117","15.30","1.07","-9.38","2.72","1.15","6.243000"
"3","000001",2021-01-29,"23.0900","124025841","2864101419.33","0.0123","15.49","1.07","-9.38","2.72","1.15","6.243000"
"3","000001",2021-02-01,"24.5500","147523930","3529556986.77","0.0632","16.47","1.07","-9.38","2.72","1.15","6.243000"
"3","000001",2021-02-02,"23.2800","241616877","5679179941.74","-0.0517","15.62","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-02-03,"24.9500","192327159","4690176486.28","0.0717","16.74","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-02-04,"24.6000","125524750","3084553750.95","-0.0140","16.50","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-02-05,"24.9300","101557559","2517804159.63","0.0134","16.72","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-02-08,"24.8000","108426467","2650948251.38","-0.0052","16.64","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-02-09,"24.5800","94209355","2302978158.40","-0.0089","16.49","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-02-10,"23.8200","191886710","4569741959.90","-0.0309","15.98","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-02-18,"24.3000","150523081","3619387651.71","0.0202","16.30","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-02-19,"23.8500","92258314","2197558286.91","-0.0185","16.00","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-02-22,"22.3800","195684248","4445818547.60","-0.0616","15.01","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-02-23,"21.9300","187046013","4160776611.31","-0.0201","14.71","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-02-24,"22.1600","142849985","3144209051.81","0.0105","14.87","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-02-25,"22.0900","159340347","3524600794.46","-0.0032","14.82","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-02-26,"21.3800","112497730","2424653753.46","-0.0321","14.34","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-03-01,"21.4500","112538653","2408050906.40","0.0033","14.39","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-03-02,"21.6500","147342505","3196536981.14","0.0093","14.52","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-03-03,"23.0100","191963527","4320024431.32","0.0628","15.44","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-03-04,"22.9200","121357937","2799747146.41","-0.0039","15.38","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-03-05,"22.3400","88017141","1960439115.04","-0.0253","14.99","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-03-08,"21.6000","99377397","2189190957.56","-0.0331","14.49","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-03-09,"20.8500","136189533","2882931927.56","-0.0347","13.99","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-03-10,"20.4000","114941657","2356185003.94","-0.0216","13.68","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-03-11,"21.2700","104865939","2213107787.13","0.0426","14.27","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-03-12,"21.4800","69720060","1494219075.50","0.0099","14.41","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-03-15,"21.6000","95874870","2077984893.95","0.0056","14.49","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-03-16,"21.6600","93968432","2038470660.53","0.0028","14.53","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-03-17,"21.2000","82148865","1738185857.10","-0.0212","14.22","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-03-18,"21.7300","69161019","1483801548.98","0.0250","14.58","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-03-19,"20.4700","152562227","3159181042.96","-0.0580","13.73","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-03-22,"21.5500","145119008","3087549484.44","0.0528","14.46","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-03-23,"21.2300","68290338","1448043613.41","-0.0148","14.24","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-03-24,"20.5300","85008507","1757688572.48","-0.0330","13.77","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-03-25,"20.7500","49266574","1017166048.68","0.0107","13.92","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-03-26,"21.1400","82210806","1733412579.12","0.0188","14.18","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-03-29,"21.4900","78566668","1684397866.28","0.0166","14.42","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-03-30,"21.9300","73865481","1601238499.06","0.0205","14.71","1.07","-9.38","2.72","1.49","7.944400"
"3","000001",2021-03-31,"22.0100","77702807","1699922183.98","0.0036","14.76","1.19","-10.67","3.10","1.49","7.944400"
"3","000001",2021-04-01,"21.7800","54444898","1183868023.66","-0.0104","13.85","1.19","-10.67","3.10","1.49","7.944400"
"3","000001",2021-04-02,"21.5000","58108352","1249405387.16","-0.0129","13.67","1.19","-10.67","3.10","1.49","7.944400"
"3","000001",2021-04-06,"21.6800","40110282","873387016.62","0.0084","13.79","1.19","-10.67","3.10","1.49","7.944400"
"3","000001",2021-04-07,"21.6400","51760459","1116774452.27","-0.0018","13.76","1.19","-10.67","3.10","1.49","7.944400"
"3","000001",2021-04-08,"21.5600","38302950","825170840.99","-0.0037","13.71","1.19","-10.67","3.10","1.49","7.944400"
"3","000001",2021-04-09,"21.3000","39896028","849870878.04","-0.0121","13.55","1.19","-10.67","3.10","1.49","7.944400"
"3","000001",2021-04-12,"20.7000","59474314","1240067319.93","-0.0282","13.17","1.19","-10.67","3.10","1.49","7.944400"
"3","000001",2021-04-13,"20.7800","49990418","1036992692.52","0.0039","13.22","1.19","-10.67","3.10","1.49","7.944400"
"3","000001",2021-04-14,"20.6700","53743849","1113001541.55","-0.0053","13.15","1.19","-10.67","3.10","1.49","7.944400"
"3","000001",2021-04-15,"20.3600","73586505","1494016040.75","-0.0150","12.95","1.19","-10.67","3.10","1.49","7.944400"
"3","000001",2021-04-16,"20.2600","72999826","1466509057.44","-0.0049","12.89","1.19","-10.67","3.10","1.49","7.944400"
"3","000001",2021-04-19,"21.1500","111228262","2304021478.31","0.0439","13.45","1.19","-10.67","3.10","1.49","7.944400"
"3","000001",2021-04-20,"21.6900","83477272","1798249024.30","0.0255","13.80","1.19","-10.67","3.10","1.49","7.944400"
"3","000001",2021-04-21,"23.0100","159709965","3644577541.25","0.0609","14.63","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-04-22,"22.9800","82969388","1905208911.59","-0.0013","14.62","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-04-23,"23.2900","82323015","1920413502.35","0.0135","14.81","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-04-26,"22.9400","87241767","2037109597.01","-0.0150","14.59","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-04-27,"22.9400","47043140","1083043579.27","0.0000","14.59","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-04-28,"23.3500","59383793","1375141409.72","0.0179","14.85","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-04-29,"23.5900","61483688","1439823965.34","0.0103","15.00","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-04-30,"23.2900","56198132","1308177202.78","-0.0127","14.81","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-05-06,"23.5000","50029522","1174181608.06","0.0090","14.95","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-05-07,"24.0500","80221421","1929112374.46","0.0234","15.30","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-05-10,"23.8600","66143890","1566860764.09","-0.0079","15.18","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-05-11,"23.5300","49722345","1161846399.06","-0.0138","14.97","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-05-12,"23.5500","53326526","1245517716.87","0.0008","14.98","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-05-13,"23.0700","54965250","1271946298.62","-0.0204","14.67","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-05-14,"23.3200","56378536","1300250943.60","0.0186","14.83","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-05-17,"23.6000","52756465","1241605192.34","0.0120","15.01","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-05-18,"23.9000","39541498","939786731.95","0.0127","15.20","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-05-19,"23.6000","42942033","1022553739.18","-0.0126","15.01","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-05-20,"23.8200","40578837","957478853.76","0.0093","15.15","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-05-21,"23.4900","53933574","1263058114.62","-0.0139","14.94","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-05-24,"23.4800","34393563","806092207.23","-0.0004","14.93","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-05-25,"24.6000","97237462","2363145902.70","0.0477","15.65","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-05-26,"25.0100","91926378","2286540248.86","0.0167","15.91","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-05-27,"24.7900","50409136","1246712048.75","-0.0088","15.77","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-05-28,"24.5000","49240073","1200523315.70","-0.0117","15.58","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-05-31,"24.2000","51535081","1244209045.99","-0.0122","15.39","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-06-01,"23.9200","62501796","1490476624.56","-0.0116","15.21","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-06-02,"23.8900","49752702","1176608126.99","-0.0013","15.19","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-06-03,"23.7700","40090085","958876472.45","-0.0050","15.12","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-06-04,"24.5400","75673942","1851425837.61","0.0324","15.61","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-06-07,"24.3000","44791410","1081738832.95","-0.0098","15.46","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-06-08,"24.5300","57007792","1384120301.27","0.0095","15.60","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-06-09,"24.6500","45383150","1116771375.46","0.0049","15.68","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-06-10,"24.2000","53021516","1294972566.65","-0.0183","15.39","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-06-11,"23.3700","83466504","1965393115.50","-0.0343","14.86","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-06-15,"23.2200","66062259","1524503477.67","-0.0064","14.77","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-06-16,"23.2600","37820804","878470834.12","0.0017","14.79","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-06-17,"23.1000","45328209","1059121804.33","-0.0069","14.69","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-06-18,"22.6500","69409930","1574437729.58","-0.0195","14.41","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-06-21,"22.1600","71827274","1600119859.95","-0.0216","14.09","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-06-22,"22.9700","75775141","1720058046.82","0.0366","14.61","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-06-23,"23.1400","44790778","1035835695.88","0.0074","14.72","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-06-24,"23.0800","39028349","894502108.58","-0.0026","14.68","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-06-25,"23.3600","55997295","1310287389.90","0.0121","14.86","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-06-28,"22.7800","62625737","1425702202.01","-0.0248","14.49","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-06-29,"22.3400","104974939","2341926371.42","-0.0193","14.21","1.19","-10.67","3.10","0.52","2.719100"
"3","000001",2021-06-30,"22.6200","40343546","913285187.10","0.0125","14.39","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-07-01,"23.2000","66483330","1530548798.57","0.0256","13.71","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-07-02,"21.8100","107067756","2360189793.98","-0.0599","12.89","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-07-05,"22.0600","85934129","1859394323.75","0.0115","13.04","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-07-06,"22.7800","79195726","1784792785.57","0.0326","13.46","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-07-07,"22.5500","46894487","1063910095.83","-0.0101","13.33","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-07-08,"21.5100","145705947","3140657439.76","-0.0461","12.71","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-07-09,"21.2700","76236474","1625461607.71","-0.0112","12.57","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-07-12,"21.1600","87790102","1859059510.48","-0.0052","12.51","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-07-13,"21.1200","65761395","1382029130.11","-0.0019","12.48","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-07-14,"20.7600","84795055","1755810875.16","-0.0170","12.27","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-07-15,"21.6200","95600305","2040266258.59","0.0414","12.78","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-07-16,"21.3400","57300261","1230180813.02","-0.0130","12.61","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-07-19,"21.2100","52213595","1098434741.86","-0.0061","12.54","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-07-20,"20.6000","80403433","1665315545.53","-0.0288","12.17","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-07-21,"20.4500","75307652","1535327561.83","-0.0073","12.09","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-07-22,"20.3800","86864809","1773999331.02","-0.0034","12.04","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-07-23,"20.1000","72740433","1461467511.79","-0.0137","11.88","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-07-26,"18.8000","145130394","2770236696.29","-0.0647","11.11","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-07-27,"17.7600","135755148","2461708369.84","-0.0553","10.50","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-07-28,"17.7500","106299421","1898562591.76","-0.0006","10.49","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-07-29,"17.9600","87237812","1566107824.40","0.0118","10.61","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-07-30,"17.6900","95015588","1679747318.28","-0.0150","10.46","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-08-02,"18.0100","115992263","2056014242.91","0.0181","10.64","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-08-03,"17.8900","89694857","1609422575.43","-0.0067","10.57","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-08-04,"17.8100","72962008","1300164293.35","-0.0045","10.53","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-08-05,"17.6800","62157388","1104903004.70","-0.0073","10.45","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-08-06,"17.8600","56745413","1005870948.80","0.0102","10.56","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-08-09,"19.0600","175279800","3313803230.96","0.0672","11.26","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-08-10,"19.7300","130198844","2535427989.31","0.0352","11.66","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-08-11,"19.8100","104830844","2104975144.53","0.0041","11.71","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-08-12,"19.8900","66645800","1330388046.16","0.0040","11.76","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-08-13,"19.8900","56288502","1110191399.00","0.0000","11.76","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-08-16,"19.9500","62705022","1247681171.00","0.0030","11.79","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-08-17,"19.6700","47602194","947385521.39","-0.0140","11.63","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-08-18,"20.6200","133273216","2732213549.09","0.0483","12.19","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-08-19,"20.3400","64997561","1315320351.84","-0.0136","12.02","1.21","-10.97","3.18","0.52","2.719100"
"3","000001",2021-08-20,"19.4200","161462793","3119152554.93","-0.0452","11.48","1.21","-10.97","3.18","0.91","4.661500"
"3","000001",2021-08-23,"19.3000","119184935","2315871646.13","-0.0062","11.41","1.21","-10.97","3.18","0.91","4.661500"
"3","000001",2021-08-24,"19.3600","86895330","1690760837.07","0.0031","11.44","1.21","-10.97","3.18","0.91","4.661500"
"3","000001",2021-08-25,"19.1600","69808397","1341330418.51","-0.0103","11.32","1.21","-10.97","3.18","0.91","4.661500"
"3","000001",2021-08-26,"18.4600","95161900","1783725035.26","-0.0365","10.91","1.21","-10.97","3.18","0.91","4.661500"
"3","000001",2021-08-27,"18.3900","72882023","1354408976.91","-0.0038","10.87","1.21","-10.97","3.18","0.91","4.661500"
"3","000001",2021-08-30,"17.7200","125221101","2221855858.70","-0.0364","10.47","1.21","-10.97","3.18","0.91","4.661500"
"3","000001",2021-08-31,"17.8000","117486786","2072006842.05","0.0045","10.52","1.21","-10.97","3.18","0.91","4.661500"
"3","000001",2021-09-01,"17.8800","231689409","4046284162.52","0.0045","10.57","1.21","-10.97","3.18","0.91","4.661500"
"3","000001",2021-09-02,"18.4000","242260354","4454545280.06","0.0291","10.87","1.21","-10.97","3.18","0.91","4.661500"
"3","000001",2021-09-03,"18.0400","139481871","2523273155.42","-0.0196","10.66","1.21","-10.97","3.18","0.91","4.661500"
"3","000001",2021-09-06,"18.4500","151522556","2780281080.51","0.0227","10.90","1.21","-10.97","3.18","0.91","4.661500"
"3","000001",2021-09-07,"19.2400","162234416","3067365668.72","0.0428","11.37","1.21","-10.97","3.18","0.91","4.661500"
"3","000001",2021-09-08,"19.2300","102620105","1979771479.65","-0.0005","11.37","1.21","-10.97","3.18","0.91","4.661500"
"3","000001",2021-09-09,"19.0000","73950585","1399536020.50","-0.0120","11.23","1.21","-10.97","3.18","0.91","4.661500"
"3","000001",2021-09-10,"20.5700","231494528","4668361827.72","0.0826","12.16","1.21","-10.97","3.18","0.91","4.661500"
"3","000001",2021-09-13,"20.2100","129722802","2606152378.88","-0.0175","11.94","1.21","-10.97","3.18","0.91","4.661500"
"3","000001",2021-09-14,"19.3700","115817315","2272080156.85","-0.0416","11.45","1.21","-10.97","3.18","0.91","4.661500"
"3","000001",2021-09-15,"19.5200","84161841","1639298361.44","0.0077","11.54","1.21","-10.97","3.18","0.91","4.661500"
"3","000001",2021-09-16,"19.0800","117695356","2234474948.16","-0.0225","11.28","1.21","-10.97","3.18","0.91","4.661500"
"3","000001",2021-09-17,"18.5300","112487963","2098715196.60","-0.0288","10.95","1.21","-10.97","3.18","0.91","4.661500"
"3","000001",2021-09-22,"17.9800","147336521","2616707242.58","-0.0297","10.63","1.21","-10.97","3.18","0.91","4.661500"
"3","000001",2021-09-23,"17.6800","137983759","2465683704.68","-0.0167","10.45","1.21","-10.97","3.18","0.91","4.661500"
"3","000001",2021-09-24,"17.3500","126569628","2209461934.41","-0.0187","10.25","1.21","-10.97","3.18","0.91","4.661500"
"3","000001",2021-09-27,"17.5700","114066759","1979196739.27","0.0127","10.38","1.21","-10.97","3.18","0.91","4.661500"
"3","000001",2021-09-28,"17.9700","129316747","2311265535.64","0.0228","10.62","1.21","-10.97","3.18","0.91","4.661500"
"3","000001",2021-09-29,"18.1500","123012175","2225416488.14","0.0100","10.73","1.21","-10.97","3.18","0.91","4.661500"
"3","000001",2021-09-30,"17.9300","79561105","1424675916.86","-0.0121","10.60","0.93","-21.53","2.27","0.91","4.661500"
"3","000001",2021-10-08,"18.6400","115920062","2146983881.54","0.0396","11.39","0.93","-21.53","2.27","0.91","4.661500"
"3","000001",2021-10-11,"19.4000","145533835","2829310843.75","0.0408","11.85","0.93","-21.53","2.27","0.91","4.661500"
"3","000001",2021-10-12,"19.3500","103123218","2004823967.61","-0.0026","11.82","0.93","-21.53","2.27","0.91","4.661500"
"3","000001",2021-10-13,"19.5800","80789668","1577612469.53","0.0119","11.96","0.93","-21.53","2.27","0.91","4.661500"
"3","000001",2021-10-14,"19.2100","84298987","1623970431.40","-0.0189","11.74","0.93","-21.53","2.27","0.91","4.661500"
"3","000001",2021-10-15,"19.6600","99349378","1948647236.81","0.0234","12.01","0.93","-21.53","2.27","0.91","4.661500"
"3","000001",2021-10-18,"19.2900","72962250","1408737777.28","-0.0188","11.79","0.93","-21.53","2.27","0.91","4.661500"
"3","000001",2021-10-19,"19.5700","68241515","1330501301.75","0.0145","11.96","0.93","-21.53","2.27","0.91","4.661500"
"3","000001",2021-10-20,"19.2400","66295555","1283356219.49","-0.0169","11.76","0.93","-21.53","2.27","0.91","4.661500"
"3","000001",2021-10-21,"20.0000","162166101","3198266215.28","0.0395","12.22","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-10-22,"20.0400","113496363","2287284921.47","0.0020","12.24","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-10-25,"20.1200","73082823","1458800089.77","0.0040","12.29","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-10-26,"20.0500","65280684","1313475882.79","-0.0035","12.25","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-10-27,"19.9200","68760019","1365982833.66","-0.0065","12.17","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-10-28,"19.7200","61901089","1211946109.14","-0.0100","12.05","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-10-29,"19.5000","53992976","1052760273.17","-0.0112","11.91","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-11-01,"19.3900","84149020","1626762029.80","-0.0056","11.85","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-11-02,"18.1800","199769050","3691356324.29","-0.0624","11.11","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-11-03,"18.0300","111497204","2009325065.93","-0.0083","11.02","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-11-04,"17.8700","98341098","1760671898.39","-0.0089","10.92","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-11-05,"17.6400","109603988","1942415605.07","-0.0129","10.78","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-11-08,"17.4200","137681482","2406417771.91","-0.0125","10.64","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-11-09,"17.5300","124057275","2163193119.31","0.0063","10.71","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-11-10,"17.4000","122085088","2109735147.17","-0.0074","10.63","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-11-11,"18.3500","208472900","3752413858.84","0.0546","11.21","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-11-12,"18.2700","95754646","1753072716.42","-0.0044","11.16","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-11-15,"18.4300","65508999","1203764095.71","0.0088","11.26","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-11-16,"18.2200","60111048","1099113409.38","-0.0114","11.13","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-11-17,"18.1100","66464038","1203859180.01","-0.0060","11.06","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-11-18,"17.8000","79984377","1430058311.95","-0.0171","10.88","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-11-19,"18.1500","78637156","1414506380.37","0.0197","11.09","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-11-22,"18.1200","73861780","1337768172.45","-0.0017","11.07","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-11-23,"17.8800","123597796","2213817590.56","-0.0132","10.92","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-11-24,"17.8700","74131084","1316774397.96","-0.0006","10.92","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-11-25,"17.6800","60353270","1068221304.51","-0.0106","10.80","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-11-26,"17.5800","69449988","1219937312.76","-0.0057","10.74","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-11-29,"17.5100","51259471","895105981.97","-0.0040","10.70","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-11-30,"17.4400","73361606","1280384552.25","-0.0040","10.66","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-12-01,"17.6400","70692519","1243666842.20","0.0115","10.78","0.93","-21.53","2.27","0.60","2.970800"
"3","000001",2021-12-02,"17.5900","99479835","1749164558.42","-0.0028","10.75","0.93","-21.53","2.27","0.60","2.970800"
